rating,review_title,review_description,date,location,up_votes,down_votes
4,Very Good,So So so good and very best base... and wire quality is a best of all . i like this eaephone ♥️♥️,"Mar, 2020",", Aurangabad",0,0
4,Delightful,Best quality. Company service is good. Worth for money. I'm really happy with this product. Nice product.,"Mar, 2020",", Chak Kanthalia",0,0
5,Wonderful,All Good but the bass is too low I suggest you to buy for this super smooth bass and sound quality.,"Mar, 2020",", Chennai",0,0
5,Great product,Awesome product I like it best quality bass sound design amazing worth for price,"Jun, 2020",", Pune",0,0
5,Worth every penny,Nice budget earphones to buy.,"Jun, 2020",", Noida",0,0
4,Really Nice,Wire seems to be quite delicate so i bought a earphones case to protect this.,"Jun, 2020",", Alwar",0,0
5,Best in the market!,Overall sound quality is best in class.,"Jun, 2020",", Dubrajpur",0,0
5,Brilliant,Go for it.,"Jun, 2020",", Vuyyuru",0,0
5,Brilliant,"Very well product 👍 go for it without hesitation. The bass of this headset is not that much boasted, although good bass and very well sound quality. In this range 💪 boat is offering a very good deal. Don't miss it.","Jun, 2020",", Pattambi",0,0
4,Pretty good,I cant believe the price and the sound and quality of this product.. Actually i m boat lover always.. This is my 3rd one.... I have already rokerzz 255 pro.. Basshead 220..but u cant believe this the sound of this price range.. 1st i compaired betwwen rokerzz255 pro vs this one.. I was shocked...... Then i realize that both r gd..but The 255 pro much better.. Oviously bcz of price dfrns.. this is amezing quality and amezing sound..... I love this family... 400 rs.. Just speechless fav hdph......,"Jun, 2020",", Kottayam District",0,0
4,Really Nice,This the best earphones at this price if u r less on money u can buy this these are best and most durable earphones at this price point really enjoying it with heavy usage they are good at ears no pain or irritation they fit very nicely👍👍 value for money product,"Jun, 2020",", Hassan",0,1
4,Really Nice,Best earphone I had used ever,"Jun, 2020",", Jalandhar",0,2
5,Very Good product,The sound quality is just mindblowing,"Jun, 2020",", Mumbai",0,0
5,Brilliant,It's really a very very very nice product ,"Mar, 2020",", Puri",0,0
5,Fabulous!,I mean in this price I don't think anything else can be much better than this one... ,"Mar, 2020",", Bhubaneswar",0,0
5,Terrific,So I must recommend you guys to purchase it❤,"Mar, 2020",", Nagpur",0,0
4,Wonderful,I am using it since 7months and till now it's absolutely fine.... I am sure that it will work well longer,"Mar, 2020",", Trichy",0,0
5,Highly recommended,good quality and good product ..i'm so happy thank you flipkart..,"Mar, 2020",", Kulathummal",0,0
5,Great product,"I guess its really durable, as far as mine one is considered...I stretched it many times. Its 3 month of rough use (rough means really rough), sometimes i thought it won't work now but still its working. So according to it was a good buy i won't compare with others in the range bcoz i haven't used. Its design slightly irritates when you are sleepy and on the pillow your put your head on any one side, that time it hurts slightly but for me its totally ok bcoz it looks cool otherwise. And final...","Mar, 2020",", Mohali",0,0
5,Worth every penny,Good product. Bass OK. Good sound quality and cables. boAt is best in audio. Expect good service also..,"Mar, 2020",", Udaipur",0,0
4,Value-for-money,The earphone are great ,"Mar, 2020",", Mumbai",0,0
3,Does the job,The response is great the sound quality and bass is best in this price range  ,"Feb, 2020",", Nagaon District",0,0
5,Great product,Looks could be more improved as that sharp ends of earphone sometimes jet little pricky when u remove them ,"Feb, 2020",", Bhadrachalam",0,0
4,Good quality product,Sound and bass quality is incredible ...but I think it's built quality should be better . It's wire   s are very thin . Look also not much good .,"Jun, 2020",", Khandela",0,0
4,Delightful,Best buy in such price tag buying for 3rd time from boat. As expected. Nice sound quality. Just one issue. The spare buds are not at all adjusting in any of them other than that it's a good product.,"Jun, 2020",", New Delhi",0,0
3,Good,The product is good in this price range. Sound is perfect and clear ans bass is not up to mark but considering price range it is justified. And the reason of giving 3 star is delivery by flipkart they take 7 days to diliver these earphones,"Jun, 2020",", Greater Noida",0,0
4,Very Good,Just no talk about its quality of this ear phone . Sound is absolutely clear . And bass is also good . One can buy without any hesitation ....!!! ,"Jun, 2020",", South Twenty Four Parganas District",0,0
5,Simply awesome," But delivery is very delay of this product . I have got it after 2 day of promise day , mentioned by seller . But the delivery boy's behaviour is very good .","Jun, 2020",", Nagpur",0,0
5,Super!,Good build quality.,"Jun, 2020",", Kalyan",0,0
5,Awesome,Wire is good will last long.,"Jun, 2020",", Shillong",0,0
